id,en,fi
0,Source: manybooks.netAudiobook available here,Source: Project Gutenberg
1,The Hound of the Baskervilles,BASKERVILLEN KOIRA
2,Sir Arthur Conan Doyle,A. Conan Doyle ENSIMMÄINEN LUKU.
3,Chapter 1 Mr. Sherlock Holmes,Herra Sherlock Holmes.
4,"Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he was up all night, was seated at the breakfast table.","Herra Sherlock Holmes, joka tavallisesti nousi hyvin myöhään ylös aamusin, paitsi niissä kylläkin useissa tapauksissa, jolloin hän oli valvonut koko yön, istui aamiaisella."
5,I stood upon the hearth-rug and picked up the stick which our visitor had left behind him the night before.,"Minä seisoin matolla tulisijan edessä pitäen kädessäni keppiä, jonka eräs edellisenä iltana luonamme käynyt herra oli unohtanut."
6,"It was a fine, thick piece of wood, bulbous-headed, of the sort which is known as a ""Penang lawyer.""","Se oli jokseenkin soma ja tukeva, se oli varustettu sipulinmuotoisella kädensijalla ja näytti oikealta ""tuomarin sauvalta."" 'M.R.C.S."
7,Just under the head was a broad silver band nearly an inch across.,[M.R.C.S. Member of the Royal College of Surgeons = kuninkaallisen kirurgi-kollegion jäsen.]
8,"""To James Mortimer, M.R.C.S., from his friends of the C.C.H.,"" was engraved upon it, with the date ""1884.""","James Mortimerille ystäviltänsä C. C. H:ssa' oli kaiverrettu tuuman-levyiselle, kädensijan alapuolella olevalle hopealevylle, sekä vielä vuosiluku 1884."
9,"It was just such a stick as the old-fashioned family practitioner used to carry--dignified, solid, and reassuring.","Juuri sellaista keppiä käyttävät tavallisesti vanhat perhelääkärit -- se näytti arvokkaalta, vakavalta ja luottamusta herättävältä."
10,"""Well, Watson, what do you make of it?""","""Kas niin, Watson, mitä johtopäätöksiä tuosta teet?"""
11,"Holmes was sitting with his back to me, and I had given him no sign of my occupation.","Holmes istui selin minuun, enkä ollut sanallakaan ilmottanut mitä toimitin."
12,"""How did you know what I was doing?","""Kuinka tiesit, mitä minä tein?"
13,"I believe you have eyes in the back of your head.""","Luulenpa että sinulla on silmät niskassakin."""
14,"""I have, at least, a well-polished, silver-plated coffee-pot in front of me,"" said he.","""Ainakin minulla on kiillotettu hopeakannu pöydällä"", sanoi hän."
15,"""But, tell me, Watson, what do you make of our visitor's stick?","""Mutta sanohan, Watson, mitä saat tietää tuosta kepistä?"
16,"Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance.","Koska emme, ikävä kyllä, saaneet tavata sen omistajaa, emmekä voi aavistaakaan hänen asiaansa, on tämä hänen käynnistään jäänyt pieni muisto meille hyvin tärkeä."
17,"Let me hear you reconstruct the man by an examination of it.""","Muodosta nyt kuva miehestä, kun olet tätä hänen omistamaansa esinettä niin tarkoin tutkinut."""
18,"""I think,"" said I, following as far as I could the methods of my companion, ""that Dr. Mortimer is a successful, elderly medical man, well-esteemed since those who know him give him this mark of their appreciation.""","""Minä luulen"", sanoin minä, koettaen seurata toverini menettelytapaa niin hyvin kuin taisin, ""että tohtori Mortimer on vanhanpuoleinen lääkäri, jolla on melkoinen käyttäjäjoukko, ja arvattavasti pidetään hänestä, koska hänen tuttavansa ovat tahtoneet antaa hänelle tämän todistuksen suosiostaan."""
19,"""Good!"" said Holmes. ""Excellent!""","""Se on hyvä"", sanoi Holmes, ""erittäin hyvä."""
20,"""I think also that the probability is in favour of his being a country practitioner who does a great deal of his visiting on foot.""","""Minä otaksun vielä, että hän luultavasti tekee työtänsä maalla ja usein, käy sairaittensa luona jalan."""
21,"""Why so?""","""Miksi niin?"""
22,"""Because this stick, though originally a very handsome one has been so knocked about that I can hardly imagine a town practitioner carrying it.","""Koskapa tämä keppi, joka alkuaan on ollut jokseenkin soma, on joutunut niin huonoon kuntoon, että tuskin voin uskoa sen kuuluvan kellekään kaupunkilaiselle."
23,"The thick-iron ferrule is worn down, so it is evident that he has done a great amount of walking with it.""","Sen paksu rautakärki on niin kulunut, että se näyttää olleen mukana pitkillä vaelluksilla."""
24,"""Perfectly sound!"" said Holmes.","""Tuo tuntuu hyvinkin oikealta"", sanoi Holmes."
25,"""And then again, there is the 'friends of the C.C.H.'","""Ja sitten tämä: ystäviltänsä C. C. H:ssa."
26,"I should guess that to be the Something Hunt, the local hunt to whose members he has possibly given some surgical assistance, and which has made him a small presentation in return.""","Minä otaksun, että H tarkoittaa jotain hevosurheiluseuraa. Ehkäpä hän kirurgina oli tehnyt palveluksia paikallisen urheiluseuran jäsenille, ja nämä ovat kiitollisuutensa osoitteeksi antaneet tämän pienen lahjan."""
27,"""Really, Watson, you excel yourself,"" said Holmes, pushing back his chair and lighting a cigarette.","""Nytpä sinä, Watson, viet voiton itsestäsikin"", sanoi Holmes työntäen tuolinsa syrjään ja sytyttäen sigaretin."
